itemno	status	list	s_type	ibex_no	s_token	speaker	v_choice	prosody	sentence	filename	url	forced choice	code	locator	do	de	ikb
1	e	I	1	7	A	do	sb	mv	Ereglili Yalova'nin uranyumu yolladigini biliyor galiba	1-e-do.wav	http://deniz.fr/prosody/1-e-do.wav	["sanıyor", "biliyor"]	["e", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/1-e-do.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["sanıyor", "biliyor"]}],	new	1	0	0
2	e	II	1	7	B	do	sb	ev		2-e-do.wav	http://deniz.fr/prosody/2-e-do.wav	["sanıyor", "biliyor"]	["e", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/2-e-do.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["sanıyor", "biliyor"]}],	new	1	0	0
3	e	II	2	8	A	do	dh	mv	Emel hanim Asena'nin madalyay\i{} kaybettigini	3-e-do.wav	http://deniz.fr/prosody/3-e-do.wav	["hatırlıyor","düşünüyor"]	["e", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/3-e-do.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["hatırlıyor","düşünüyor"]}],	new	1	0	0
4	e	I	2	8	B	do	dh	ev		4-e-do.wav	http://deniz.fr/prosody/4-e-do.wav	["hatırlıyor","düşünüyor"]	["e", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/4-e-do.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["hatırlıyor","düşünüyor"]}],	new	1	0	0
5	e	I	3	9	A	do	sb	mv	Angolali Obama'nin Hawaii'yi begendigini biliyor	5-e-do.wav	http://deniz.fr/prosody/5-e-do.wav	["biliyor", "sanıyor"]	["e", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/5-e-do.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["biliyor", "sanıyor"]}],	new	1	0	0
6	e	II	3	9	B	do	sb	ev		6-e-do.wav	http://deniz.fr/prosody/6-e-do.wav	["biliyor", "sanıyor"]	["e", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/6-e-do.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["biliyor", "sanıyor"]}],	new	1	0	0
7	e	II	4	10	A	do	dh	mv	Cezeryeci Mandela'nin balinayi doyurdugunu biliyor	7-e-do.wav	http://deniz.fr/prosody/7-e-do.wav	["düşünüyor","hatırlıyor"]	["e", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/7-e-do.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["düşünüyor","hatırlıyor"]}],	new	1	0	0
8	e	I	4	10	B	do	dh	ev		8-e-do.wav	http://deniz.fr/prosody/8-e-do.wav	["düşünüyor","hatırlıyor"]	["e", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/8-e-do.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["düşünüyor","hatırlıyor"]}],	new	1	0	0
9	e	I	5	11	A	do	sb	mv	Caner abi Dilara'nin Liberya'yi gezdirdigini biliyor	9-e-do.wav	http://deniz.fr/prosody/9-e-do.wav	["sanıyor", "biliyor"]	["e", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/9-e-do.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["sanıyor", "biliyor"]}],	new	1	0	0
10	e	II	5	11	B	do	sb	ev		10-e-do.wav	http://deniz.fr/prosody/10-e-do.wav	["sanıyor", "biliyor"]	["e", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/10-e-do.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["sanıyor", "biliyor"]}],	new	1	0	0
11	e	II	6	12	A	do	dh	mv	Ebru Yenge Harun Bey'in Burundi'yi ozledigini biliyor	11-e-do.wav	http://deniz.fr/prosody/11-e-do.wav	["hatırlıyor","düşünüyor"]	["e", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/11-e-do.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["hatırlıyor","düşünüyor"]}],	new	1	0	0
12	e	I	6	12	B	do	dh	ev		12-e-do.wav	http://deniz.fr/prosody/12-e-do.wav	["hatırlıyor","düşünüyor"]	["e", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/12-e-do.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["hatırlıyor","düşünüyor"]}],	new	1	0	0
13	e	I	7	13	A	ikb	sb	mv	G\"oremeli Manolya'n\i{}n barbunyay\i{} denedi\v{g}ini biliyor	13-e-ikb.wav	http://deniz.fr/prosody/13-e-ikb.wav	["biliyor", "sanıyor"]	["e", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/13-e-ikb.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["biliyor", "sanıyor"]}],	focus-and-ECs-4-mv	0	0	1
14	e	II	7	13	B	ikb	sb	ev		14-e-ikb.wav	http://deniz.fr/prosody/14-e-ikb.wav	["biliyor", "sanıyor"]	["e", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/14-e-ikb.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["biliyor", "sanıyor"]}],	focus-and-ECs-4-ev	0	0	1
15	e	II	8	14	A	ikb	dh	mv	Berna han\i{}m Veli Bey'in nargileyi doldurdu\v{g}unu biliyor	15-e-ikb.wav	http://deniz.fr/prosody/15-e-ikb.wav	["düşünüyor","hatırlıyor"]	["e", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/15-e-ikb.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["düşünüyor","hatırlıyor"]}],	focus-and-ECs-2-mv	0	0	1
16	e	I	8	14	B	ikb	dh	ev		16-e-ikb.wav	http://deniz.fr/prosody/16-e-ikb.wav	["düşünüyor","hatırlıyor"]	["e", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/16-e-ikb.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["düşünüyor","hatırlıyor"]}],	focus-and-ECs-2-ev	0	0	1
17	e	I	9	15	A	ikb	sb	mv	Cezayirli Memoli'nin gazinoyu boyad\i{}\v{g}\i{}n\i{} biliyor	17-e-ikb.wav	http://deniz.fr/prosody/17-e-ikb.wav	["sanıyor", "biliyor"]	["e", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/17-e-ikb.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["sanıyor", "biliyor"]}],	focus-and-ECs-3-mv	0	0	1
18	e	II	9	15	B	ikb	sb	ev		18-e-ikb.wav	http://deniz.fr/prosody/18-e-ikb.wav	["sanıyor", "biliyor"]	["e", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/18-e-ikb.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["sanıyor", "biliyor"]}],	focus-and-ECs-3-ev	0	0	1
19	e	II	10	16	A	de	dh	mv	Limonlulular Memoli'nin marinay\i{} arad\i\v{g}\i{}n\i{} biliyor galiba.	19-e-de.wav	http://deniz.fr/prosody/19-e-de.wav	["hatırlıyor","düşünüyor"]	["e", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/19-e-de.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["hatırlıyor","düşünüyor"]}],	pragmatics-1-assert	0	1	0
20	e	I	10	16	B	de	dh	ev		20-e-de.wav	http://deniz.fr/prosody/20-e-de.wav	["hatırlıyor","düşünüyor"]	["e", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/20-e-de.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["hatırlıyor","düşünüyor"]}],	pragmatics-1-maybe	0	1	0
21	e	I	11	17	A	de	sb	mv	Yaloval\i{}lar Almanya'n\i{}n Romanya'y\i{} eledi\v{g}ini biliyor galiba.	21-e-de.wav	http://deniz.fr/prosody/21-e-de.wav	["biliyor", "sanıyor"]	["e", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/21-e-de.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["biliyor", "sanıyor"]}],	pragmatics-2-assert	0	1	0
22	e	II	11	17	B	de	sb	ev		22-e-de.wav	http://deniz.fr/prosody/22-e-de.wav	["biliyor", "sanıyor"]	["e", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/22-e-de.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["biliyor", "sanıyor"]}],	pragmatics-2-maybe	0	1	0
23	e	II	12	18	A	de	dh	mv	Anamurlular annanenin manolya'y\i{} elledi\v{g}ini biliyor galiba.	23-e-de.wav	http://deniz.fr/prosody/23-e-de.wav	["düşünüyor","hatırlıyor"]	["e", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/23-e-de.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["düşünüyor","hatırlıyor"]}],	pragmatics-3-assert	0	1	0
24	e	I	12	18	B	de	dh	ev		24-e-de.wav	http://deniz.fr/prosody/24-e-de.wav	["düşünüyor","hatırlıyor"]	["e", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/24-e-de.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["düşünüyor","hatırlıyor"]}],	pragmatics-3-maybe	0	1	0
25	f	III	13	19		de			Ere\v{g}lililer annanenin manolyalar\i{}n\i{} yoluyor galiba.	25-f-de.wav	http://deniz.fr/prosody/25-f-de.wav	["gördü","özledi"]	["f", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/25-f-de.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["gördü","özledi"]}],	possessive-pr-1	1	0	0
26	f	III	14	20		ikb			Balamir Ilyada'nin malibusunu indirdi.	26-f-ikb.wav	http://deniz.fr/prosody/26-f-ikb.wav	["özledi","gördü"]	["f", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/26-f-ikb.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["özledi","gördü"]}],	possessive-pr-5	1	0	0
27	f	III	15	21		de			Anamurlular Memolinin marinalar\i{}n\i{} al\i{}yor galiba.	27-f-de.wav	http://deniz.fr/prosody/27-f-de.wav	["gördü","özledi"]	["f", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/27-f-de.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["gördü","özledi"]}],	possessive-pm-2	1	0	0
28	f	III	16	22		ikb			Romero Bolivya'nin gerillasini devirdi	28-f-ikb.wav	http://deniz.fr/prosody/28-f-ikb.wav	["özledi","gördü"]	["f", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/28-f-ikb.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["özledi","gördü"]}],	possessive-pm-7	1	0	0
29	f	III	17	23		de			Alanyal\i{}lar Almanyan\i{}n anayollar\i{}n\i{} ar\i{}yor galiba.	29-f-de.wav	http://deniz.fr/prosody/29-f-de.wav	["gördü","özledi"]	["f", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/29-f-de.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["gördü","özledi"]}],	possessive-v-3	0	1	0
30	f	III	18	24		ikb			Dilara Do\v{g}an Bey'in balinas\i{}n\i{} doyurdu.	30-f-ikb.wav	http://deniz.fr/prosody/30-f-ikb.wav	["unuttu","fark etti"]	["f", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/30-f-ikb.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["unuttu","fark etti"]}],	possessive-v-3	0	0	1
31	f	III	19	25		de			Alanyal\i{}lar Alara'n\i{}n arayolu \"o\v{g}rendi\v{g}ini biliyor galiba.	31-f-de.wav	http://deniz.fr/prosody/31-f-de.wav	["fark etti","unuttu"]	["f", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/31-f-de.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["fark etti","unuttu"]}],	att-sfoc-5	0	1	0
32	f	III	20	26		ikb			Canan abla \.Ilyada'n\i{}n Almanca'y\i{} \"o\v{g}rendi\v{g}ini biliyor	32-f-ikb.wav	http://deniz.fr/prosody/32-f-ikb.wav	["unuttu","fark etti"]	["f", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/32-f-ikb.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["unuttu","fark etti"]}],	att-ofoc-8	0	0	1
33	f	III	21	27		de			Limonlulular Manolya'n\i{}n Alanya'y\i{} ye\v{g}ledi\v{g}ini biliyor galiba.	33-f-de.wav	http://deniz.fr/prosody/33-f-de.wav	["fark etti","unuttu"]	["f", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/33-f-de.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["fark etti","unuttu"]}],	att-sfoc-6	0	1	0
34	f	III	22	28		ikb			Onur hala ananenin bezelyeyi elledi\v{g}ini biliyor	34-f-ikb.wav	http://deniz.fr/prosody/34-f-ikb.wav	["unuttu","fark etti"]	["f", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/34-f-ikb.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["unuttu","fark etti"]}],	att-ofoc-9	0	0	1
35	p	III	23	29		do			Uzaylilar dunyaya gelirse isteyecekleri sey baris.	35-p-do.wav	http://deniz.fr/prosody/35-p-do.wav	["barış","savaş"]	["p", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/35-p-do.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["barış","savaş"]}],	new	0	1	0
36	p	III	24	30		do			Cuceler konseyi yarin elf baskani Elrond'u arayacak.	36-p-do.wav	http://deniz.fr/prosody/36-p-do.wav	["kaçırdı","arayacak"]	["p", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/36-p-do.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["kaçırdı","arayacak"]}],	new	0	0	1
37	p	III	25	31		do			Legolas gecen gun Arwen'le gorusebildi mi?	37-p-do.wav	http://deniz.fr/prosody/37-p-do.wav	["mi","valla"]	["p", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/37-p-do.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["mi","valla"]}],	new	0	1	0
38	p	III	26	32		do			Kurukahveci Mehmet Efendi satmis butun kahveleri.	38-p-do.wav	http://deniz.fr/prosody/38-p-do.wav	["kitapları","kahveleri"]	["p", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/38-p-do.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["kitapları","kahveleri"]}],	new	0	0	1
39	n	III	27	33		do			Ayse yagmur yagdigini dusunmuyor.	39-n-do.wav	http://deniz.fr/prosody/39-n-do.wav	["Ayşe'nin düşüncesi 'yağmur yağmıyor' şeklinde.","Ayşe'nin düşüncesi 'yağmur yağıyor' şeklinde değil."]	["n", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/39-n-do.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["Ayşe'nin düşüncesi 'yağmur yağmıyor' şeklinde.","Ayşe'nin düşüncesi 'yağmur yağıyor' şeklinde değil."]}],	new	1	0	0
40	n	III	28	34		do			Bolum baskani ortak bir karara varmanin zor olacacagini dusunmuyor	40-n-do.wav	http://deniz.fr/prosody/40-n-do.wav	["Başkanın düşüncesi 'ortak bir karara varmak zor olmayacak' şeklinde.","Başkanın düşüncesi 'ortak bir karara varmak zor olacak' şeklinde değil."]	["n", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/40-n-do.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["Başkanın düşüncesi 'ortak bir karara varmak zor olmayacak' şeklinde.","Başkanın düşüncesi 'ortak bir karara varmak zor olacak' şeklinde değil."]}],	new	1	0	0
41	c	III	29	35	A	do		mv	Merve ogretmeninin Paris'te yasamis oldugunu biliyor.	41-c-do.wav	http://deniz.fr/prosody/41-c-do.wav	["Öğretmen Paris'te yaşamış.","Öğretmen Paris'te yaşamamış olabilir."]	["c", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/41-c-do.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["Öğretmen Paris'te yaşamış.","Öğretmen Paris'te yaşamamış olabilir."]}],	new	1	0	0
42	c	III	30	36	B	do		ev		42-c-do.wav	http://deniz.fr/prosody/42-c-do.wav	["Öğretmen Paris'te yaşamış.","Öğretmen Paris'te yaşamamış olabilir."]	["c", "AudioMessage", {html: "<center>+</center><audio class='audio-message' src='http://deniz.fr/prosody/42-c-do.wav' type='audio/wav' autoplay></audio>", transfer:"audio-end"}, "Question", {q: "", as:["Öğretmen Paris'te yaşamış.","Öğretmen Paris'te yaşamamış olabilir."]}],	new	1	0	0
